Artistas,Nome do álbum,Nome da música,Ano de lançamento,Acústica,Dançabilidade,Energia,Instrumentalidade,Vivência,Valência
Gilberto Gil,"As canções de eu, tu, eles",Esperando na janela,2000,0.201,0.653,0.647,0.0,0.0753,0.936
Zeca Pagodinho,"Sambabook Zeca Pagodinho, Vol. 2",Camarão Que Dorme a Onda Leva,2014,0.313,0.723,0.694,0.0,0.052,0.739
Gilberto Gil,Um banda um,Andar com fé,1982,0.47,0.774,0.647,0.000569,0.46,0.965
Gilberto Gil,Realce,Toda Menina Baiana,1979,0.236,0.692,0.897,3.86e-06,0.116,0.968
Gilberto Gil,Gilbertos Samba,Aos Pés da Cruz,2014,0.9,0.725,0.299,0.107,0.118,0.527
Gilberto Gil,Luar,Palco,1981,0.489,0.734,0.787,0.0461,0.329,0.757
Emicida,É tudo pra ontem,É tudo pra ontem,2020,0.769,0.641,0.522,0.0,0.394,0.627
Gilberto Gil,Gilberto Gil (1969),Aquele Abraço,1969,0.14,0.446,0.793,0.0,0.573,0.901
Gilberto Gil,Unplugged (Ao vivo),A paz - Ao vivo,1994,0.717,0.626,0.219,0.00513,0.702,0.267
Caetano Veloso,Clássicos da Bossa Nova,Desde Que O Samba É Samba,2020,0.933,0.635,0.239,0.027,0.114,0.327
